#lakeno iconn k i j claktype bedleak belev telev connlen connwidth
1 132 1 35 35 vertical 0.025 0.0 0.0 0.0 0.0
1 133 1 35 44 vertical 0.025 0.0 0.0 0.0 0.0
1 134 1 38 40 vertical 0.025 0.0 0.0 0.0 0.0
1 135 1 38 49 vertical 0.045 0.0 0.0 0.0 0.0
1 136 1 27 30 vertical 0.045 0.0 0.0 0.0 0.0
1 137 1 39 32 vertical 0.025 0.0 0.0 0.0 0.0
1 138 1 27 39 vertical 0.025 0.0 0.0 0.0 0.0
1 139 1 39 41 vertical 0.045 0.0 0.0 0.0 0.0
1 140 1 27 48 vertical 0.025 0.0 0.0 0.0 0.0
1 141 1 28 31 vertical 0.025 0.0 0.0 0.0 0.0
1 142 1 28 40 vertical 0.025 0.0 0.0 0.0 0.0
1 143 1 31 36 vertical 0.025 0.0 0.0 0.0 0.0
1 144 1 31 45 vertical 0.025 0.0 0.0 0.0 0.0
1 145 1 34 47 vertical 0.025 0.0 0.0 0.0 0.0
1 146 1 35 30 vertical 0.025 0.0 0.0 0.0 0.0
1 147 1 35 39 vertical 0.025 0.0 0.0 0.0 0.0
1 148 1 38 35 vertical 0.045 0.0 0.0 0.0 0.0
1 149 1 35 48 vertical 0.025 0.0 0.0 0.0 0.0
1 150 1 38 44 vertical 0.025 0.0 0.0 0.0 0.0
1 151 1 39 27 vertical 0.025 0.0 0.0 0.0 0.0
1 152 1 27 34 vertical 0.025 0.0 0.0 0.0 0.0
1 153 1 27 43 vertical 0.045 0.0 0.0 0.0 0.0
1 154 1 31 31 vertical 0.025 0.0 0.0 0.0 0.0
1 155 1 42 28 vertical 0.045 0.0 0.0 0.0 0.0
1 156 1 34 33 vertical 0.025 0.0 0.0 0.0 0.0
1 157 1 42 46 vertical 0.045 0.0 0.0 0.0 0.0
1 158 1 34 42 vertical 0.025 0.0 0.0 0.0 0.0
1 159 1 26 38 vertical 0.045 0.0 0.0 0.0 0.0
1 160 1 26 47 vertical 0.025 0.0 0.0 0.0 0.0
1 161 1 35 34 vertical 0.025 0.0 0.0 0.0 0.0
1 162 1 38 30 vertical 0.025 0.0 0.0 0.0 0.0
1 163 1 35 43 vertical 0.025 0.0 0.0 0.0 0.0
1 164 1 38 39 vertical 0.025 0.0 0.0 0.0 0.0
1 165 1 38 48 vertical 0.025 0.0 0.0 0.0 0.0
1 166 1 27 29 vertical 0.045 0.0 0.0 0.0 0.0
1 167 1 39 31 vertical 0.025 0.0 0.0 0.0 0.0
1 168 1 27 38 vertical 0.025 0.0 0.0 0.0 0.0
1 169 1 27 47 vertical 0.025 0.0 0.0 0.0 0.0
1 170 1 30 40 vertical 0.025 0.0 0.0 0.0 0.0
1 171 1 30 49 vertical 0.025 0.0 0.0 0.0 0.0
1 172 1 34 28 vertical 0.025 0.0 0.0 0.0 0.0
1 173 1 34 37 vertical 0.025 0.0 0.0 0.0 0.0
1 174 1 34 46 vertical 0.025 0.0 0.0 0.0 0.0
1 175 1 35 29 vertical 0.025 0.0 0.0 0.0 0.0
1 176 1 35 38 vertical 0.025 0.0 0.0 0.0 0.0
1 177 1 38 43 vertical 0.025 0.0 0.0 0.0 0.0
1 178 1 37 47 vertical 0.025 0.0 0.0 0.0 0.0
1 179 1 27 33 vertical 0.045 0.0 0.0 0.0 0.0
1 180 1 30 35 vertical 0.025 0.0 0.0 0.0 0.0
1 181 1 30 44 vertical 0.025 0.0 0.0 0.0 0.0
1 182 1 41 44 vertical 0.025 0.0 0.0 0.0 0.0
1 183 1 34 32 vertical 0.025 0.0 0.0 0.0 0.0
1 184 1 42 45 vertical 0.045 0.0 0.0 0.0 0.0
1 185 1 34 41 vertical 0.025 0.0 0.0 0.0 0.0
1 186 1 26 37 vertical 0.025 0.0 0.0 0.0 0.0
1 187 1 34 50 vertical 0.025 0.0 0.0 0.0 0.0
1 188 1 26 46 vertical 0.025 0.0 0.0 0.0 0.0
1 189 1 38 29 vertical 0.025 0.0 0.0 0.0 0.0
1 190 1 37 42 vertical 0.025 0.0 0.0 0.0 0.0
1 191 1 29 47 vertical 0.025 0.0 0.0 0.0 0.0
1 192 1 30 30 vertical 0.025 0.0 0.0 0.0 0.0
1 193 1 41 30 vertical 0.025 0.0 0.0 0.0 0.0
1 194 1 30 39 vertical 0.025 0.0 0.0 0.0 0.0
1 195 1 30 48 vertical 0.025 0.0 0.0 0.0 0.0
1 196 1 42 31 vertical 0.045 0.0 0.0 0.0 0.0
1 197 1 34 36 vertical 0.025 0.0 0.0 0.0 0.0
1 198 1 34 45 vertical 0.025 0.0 0.0 0.0 0.0
1 199 1 33 49 vertical 0.025 0.0 0.0 0.0 0.0
1 200 1 37 28 vertical 0.025 0.0 0.0 0.0 0.0
1 201 1 37 37 vertical 0.025 0.0 0.0 0.0 0.0
1 202 1 29 33 vertical 0.025 0.0 0.0 0.0 0.0
1 203 1 37 46 vertical 0.025 0.0 0.0 0.0 0.0
1 204 1 29 42 vertical 0.025 0.0 0.0 0.0 0.0
1 205 1 30 34 vertical 0.025 0.0 0.0 0.0 0.0
1 206 1 30 43 vertical 0.025 0.0 0.0 0.0 0.0
1 207 1 41 43 vertical 0.025 0.0 0.0 0.0 0.0
1 208 1 34 31 vertical 0.025 0.0 0.0 0.0 0.0
1 209 1 26 36 vertical 0.025 0.0 0.0 0.0 0.0
1 210 1 33 35 vertical 0.025 0.0 0.0 0.0 0.0
1 211 1 33 44 vertical 0.025 0.0 0.0 0.0 0.0
1 212 1 36 40 vertical 0.025 0.0 0.0 0.0 0.0
1 213 1 36 49 vertical 0.025 0.0 0.0 0.0 0.0
1 214 1 37 32 vertical 0.025 0.0 0.0 0.0 0.0
1 215 1 29 28 vertical 0.045 0.0 0.0 0.0 0.0
1 216 1 37 41 vertical 0.025 0.0 0.0 0.0 0.0
1 217 1 29 37 vertical 0.025 0.0 0.0 0.0 0.0
1 218 1 29 46 vertical 0.025 0.0 0.0 0.0 0.0
1 219 1 30 29 vertical 0.025 0.0 0.0 0.0 0.0
1 220 1 41 29 vertical 0.025 0.0 0.0 0.0 0.0
1 221 1 30 38 vertical 0.025 0.0 0.0 0.0 0.0
1 222 1 32 47 vertical 0.025 0.0 0.0 0.0 0.0
1 223 1 33 30 vertical 0.025 0.0 0.0 0.0 0.0
1 224 1 33 39 vertical 0.025 0.0 0.0 0.0 0.0
1 225 1 36 35 vertical 0.025 0.0 0.0 0.0 0.0
1 226 1 33 48 vertical 0.025 0.0 0.0 0.0 0.0
1 227 1 25 44 vertical 0.025 0.0 0.0 0.0 0.0
1 228 1 36 44 vertical 0.025 0.0 0.0 0.0 0.0
1 229 1 37 27 vertical 0.025 0.0 0.0 0.0 0.0
1 230 1 37 36 vertical 0.025 0.0 0.0 0.0 0.0
1 231 1 29 32 vertical 0.025 0.0 0.0 0.0 0.0
1 232 1 37 45 vertical 0.025 0.0 0.0 0.0 0.0
1 233 1 29 41 vertical 0.025 0.0 0.0 0.0 0.0
1 234 1 29 50 vertical 0.045 0.0 0.0 0.0 0.0
1 235 1 40 46 vertical 0.025 0.0 0.0 0.0 0.0
1 236 1 32 42 vertical 0.025 0.0 0.0 0.0 0.0
1 237 1 24 47 vertical 0.045 0.0 0.0 0.0 0.0
1 238 1 33 34 vertical 0.025 0.0 0.0 0.0 0.0
1 239 1 36 30 vertical 0.025 0.0 0.0 0.0 0.0
1 240 1 33 43 vertical 0.025 0.0 0.0 0.0 0.0
1 241 1 36 39 vertical 0.025 0.0 0.0 0.0 0.0
1 242 1 25 48 vertical 0.045 0.0 0.0 0.0 0.0
1 243 1 36 48 vertical 0.025 0.0 0.0 0.0 0.0
1 244 1 37 31 vertical 0.025 0.0 0.0 0.0 0.0
1 245 1 37 40 vertical 0.025 0.0 0.0 0.0 0.0
1 246 1 29 36 vertical 0.025 0.0 0.0 0.0 0.0
1 247 1 29 45 vertical 0.025 0.0 0.0 0.0 0.0
1 248 1 28 49 vertical 0.025 0.0 0.0 0.0 0.0
1 249 1 40 32 vertical 0.025 0.0 0.0 0.0 0.0
1 250 1 32 37 vertical 0.025 0.0 0.0 0.0 0.0
1 251 1 32 46 vertical 0.025 0.0 0.0 0.0 0.0
1 252 1 33 29 vertical 0.025 0.0 0.0 0.0 0.0
1 253 1 33 38 vertical 0.025 0.0 0.0 0.0 0.0
1 254 1 36 34 vertical 0.025 0.0 0.0 0.0 0.0
1 255 1 33 47 vertical 0.025 0.0 0.0 0.0 0.0
1 256 1 25 43 vertical 0.025 0.0 0.0 0.0 0.0
1 257 1 36 43 vertical 0.025 0.0 0.0 0.0 0.0
1 258 1 37 26 vertical 0.045 0.0 0.0 0.0 0.0
1 259 1 39 45 vertical 0.025 0.0 0.0 0.0 0.0
1 260 1 29 31 vertical 0.025 0.0 0.0 0.0 0.0
1 261 1 28 35 vertical 0.025 0.0 0.0 0.0 0.0
1 262 1 28 44 vertical 0.025 0.0 0.0 0.0 0.0
1 263 1 31 40 vertical 0.025 0.0 0.0 0.0 0.0
1 264 1 31 49 vertical 0.025 0.0 0.0 0.0 0.0
1 265 1 40 27 vertical 0.025 0.0 0.0 0.0 0.0
1 266 1 32 32 vertical 0.025 0.0 0.0 0.0 0.0
1 267 1 40 45 vertical 0.025 0.0 0.0 0.0 0.0
1 268 1 32 41 vertical 0.025 0.0 0.0 0.0 0.0
1 269 1 32 50 vertical 0.025 0.0 0.0 0.0 0.0
1 270 1 24 46 vertical 0.045 0.0 0.0 0.0 0.0
1 271 1 33 33 vertical 0.025 0.0 0.0 0.0 0.0
1 272 1 36 29 vertical 0.025 0.0 0.0 0.0 0.0
1 273 1 36 38 vertical 0.025 0.0 0.0 0.0 0.0
1 274 1 39 40 vertical 0.045 0.0 0.0 0.0 0.0
1 275 1 28 30 vertical 0.025 0.0 0.0 0.0 0.0
1 276 1 28 39 vertical 0.025 0.0 0.0 0.0 0.0
1 277 1 31 35 vertical 0.025 0.0 0.0 0.0 0.0
1 278 1 28 48 vertical 0.025 0.0 0.0 0.0 0.0
1 279 1 31 44 vertical 0.025 0.0 0.0 0.0 0.0
1 280 1 40 31 vertical 0.025 0.0 0.0 0.0 0.0
1 281 1 32 36 vertical 0.025 0.0 0.0 0.0 0.0
1 282 1 32 45 vertical 0.025 0.0 0.0 0.0 0.0
1 283 1 33 28 vertical 0.045 0.0 0.0 0.0 0.0
1 284 1 35 47 vertical 0.025 0.0 0.0 0.0 0.0
1 285 1 36 33 vertical 0.025 0.0 0.0 0.0 0.0
1 286 1 39 44 vertical 0.025 0.0 0.0 0.0 0.0
1 287 1 28 34 vertical 0.025 0.0 0.0 0.0 0.0
1 288 1 31 30 vertical 0.025 0.0 0.0 0.0 0.0
1 289 1 28 43 vertical 0.045 0.0 0.0 0.0 0.0
1 290 1 31 39 vertical 0.025 0.0 0.0 0.0 0.0
1 291 1 31 48 vertical 0.025 0.0 0.0 0.0 0.0
1 292 1 40 26 vertical 0.045 0.0 0.0 0.0 0.0
1 293 1 32 31 vertical 0.025 0.0 0.0 0.0 0.0
1 294 1 32 40 vertical 0.025 0.0 0.0 0.0 0.0
1 295 1 35 33 vertical 0.025 0.0 0.0 0.0 0.0
1 296 1 24 45 vertical 0.025 0.0 0.0 0.0 0.0
1 297 1 35 42 vertical 0.025 0.0 0.0 0.0 0.0
1 298 1 38 38 vertical 0.025 0.0 0.0 0.0 0.0
1 299 1 38 47 vertical 0.025 0.0 0.0 0.0 0.0
1 300 1 39 30 vertical 0.025 0.0 0.0 0.0 0.0
1 301 1 27 37 vertical 0.025 0.0 0.0 0.0 0.0
1 302 1 39 39 vertical 0.045 0.0 0.0 0.0 0.0
1 303 1 27 46 vertical 0.025 0.0 0.0 0.0 0.0
1 304 1 39 48 vertical 0.025 0.0 0.0 0.0 0.0
1 305 1 28 29 vertical 0.025 0.0 0.0 0.0 0.0
1 306 1 28 38 vertical 0.025 0.0 0.0 0.0 0.0
1 307 1 31 34 vertical 0.025 0.0 0.0 0.0 0.0
1 308 1 28 47 vertical 0.025 0.0 0.0 0.0 0.0
1 309 1 31 43 vertical 0.025 0.0 0.0 0.0 0.0
1 310 1 35 28 vertical 0.025 0.0 0.0 0.0 0.0
