#k i j head boundname
3 23 1 308.146 perimeter-heads
3 24 1 308.052 perimeter-heads
3 25 1 307.957 perimeter-heads
3 26 1 307.863 perimeter-heads
3 27 1 307.773 perimeter-heads
3 28 1 307.684 perimeter-heads
3 29 1 307.596 perimeter-heads
3 30 1 307.508 perimeter-heads
3 31 1 307.418 perimeter-heads
3 32 1 307.327 perimeter-heads
3 33 1 307.236 perimeter-heads
3 34 1 307.151 perimeter-heads
3 35 1 307.066 perimeter-heads
3 36 1 306.981 perimeter-heads
3 37 1 306.897 perimeter-heads
3 38 1 306.813 perimeter-heads
3 39 1 306.734 perimeter-heads
3 40 1 306.656 perimeter-heads
3 41 1 306.577 perimeter-heads
3 42 1 306.498 perimeter-heads
3 43 1 306.419 perimeter-heads
3 44 1 306.344 perimeter-heads
3 45 1 306.269 perimeter-heads
3 46 1 306.196 perimeter-heads
3 47 1 306.123 perimeter-heads
3 48 1 306.05 perimeter-heads
3 49 1 305.981 perimeter-heads
3 50 1 305.912 perimeter-heads
3 51 1 305.843 perimeter-heads
3 52 1 305.771 perimeter-heads
3 53 1 305.7 perimeter-heads
3 54 1 305.631 perimeter-heads
3 55 1 305.562 perimeter-heads
3 56 1 305.495 perimeter-heads
3 57 1 305.429 perimeter-heads
3 58 1 305.363 perimeter-heads
3 59 1 305.296 perimeter-heads
3 60 1 305.23 perimeter-heads
3 60 2 305.103 perimeter-heads
3 60 3 304.977 perimeter-heads
3 60 4 304.842 perimeter-heads
3 60 5 304.708 perimeter-heads
3 60 6 304.573 perimeter-heads
3 60 7 304.44 perimeter-heads
3 60 8 304.306 perimeter-heads
3 60 9 304.162 perimeter-heads
3 60 10 304.017 perimeter-heads
3 60 11 303.873 perimeter-heads
3 60 12 303.727 perimeter-heads
3 60 13 303.582 perimeter-heads
3 60 14 303.427 perimeter-heads
3 60 15 303.272 perimeter-heads
3 60 16 303.117 perimeter-heads
3 60 17 302.959 perimeter-heads
3 60 18 302.801 perimeter-heads
3 60 19 302.63 perimeter-heads
3 60 20 302.46 perimeter-heads
3 60 21 302.298 perimeter-heads
3 60 22 302.135 perimeter-heads
3 60 23 301.973 perimeter-heads
3 60 24 301.795 perimeter-heads
3 60 25 301.617 perimeter-heads
3 60 26 301.448 perimeter-heads
3 60 27 301.28 perimeter-heads
3 60 28 301.111 perimeter-heads
3 60 29 300.943 perimeter-heads
3 60 30 300.775 perimeter-heads
